,pwm,left,right
0,255,0.76,0.8320000000000001
1,254,0.82,0.86
2,253,0.82,0.86
3,252,0.8299999999999998,0.86
4,251,0.8299999999999998,0.86
5,250,0.828,0.86
6,249,0.8320000000000001,0.86
7,248,0.8299999999999998,0.86
8,247,0.8299999999999998,0.86
9,246,0.828,0.86
10,245,0.8299999999999998,0.86
11,244,0.8219999999999998,0.86
12,243,0.82,0.86
13,242,0.82,0.86
14,241,0.82,0.86
15,240,0.82,0.86
16,239,0.8100000000000002,0.86
17,238,0.8100000000000002,0.86
18,237,0.8100000000000002,0.86
19,236,0.8100000000000002,0.86
20,235,0.8100000000000002,0.86
21,234,0.8,0.86
22,233,0.8,0.858
23,232,0.8,0.852
24,231,0.8,0.852
25,230,0.79,0.85
26,229,0.7860000000000001,0.85
27,228,0.788,0.852
28,227,0.788,0.852
29,226,0.78,0.85
30,225,0.7780000000000001,0.852
31,224,0.78,0.85
32,223,0.772,0.85
33,222,0.77,0.85
34,221,0.766,0.85
35,220,0.766,0.85
36,219,0.76,0.85
37,218,0.76,0.85
38,217,0.756,0.85
39,216,0.75,0.85
40,215,0.75,0.85
41,214,0.748,0.85
42,213,0.74,0.85
43,212,0.7380000000000001,0.85
44,211,0.734,0.8400000000000001
45,210,0.726,0.8400000000000001
46,209,0.73,0.8400000000000001
47,208,0.73,0.8400000000000001
48,207,0.7219999999999999,0.8400000000000001
49,206,0.72,0.8400000000000001
50,205,0.72,0.8400000000000001
51,204,0.712,0.8400000000000001
52,203,0.71,0.8400000000000001
53,202,0.702,0.8400000000000001
54,201,0.7,0.836
55,200,0.7,0.834
56,199,0.666,0.828
57,198,0.69,0.8299999999999998
58,197,0.69,0.8299999999999998
59,196,0.69,0.8299999999999998
60,195,0.68,0.8299999999999998
61,194,0.68,0.8299999999999998
62,193,0.68,0.8299999999999998
63,192,0.6719999999999999,0.8299999999999998
64,191,0.67,0.8299999999999998
65,190,0.66,0.8299999999999998
66,189,0.66,0.8299999999999998
67,188,0.66,0.828
68,187,0.654,0.828
69,186,0.65,0.8219999999999998
70,185,0.65,0.82
71,184,0.64,0.82
72,183,0.64,0.82
73,182,0.64,0.82
74,181,0.6319999999999999,0.82
75,180,0.63,0.82
76,179,0.63,0.818
77,178,0.6220000000000001,0.82
78,177,0.62,0.8140000000000001
79,176,0.61,0.8100000000000002
80,175,0.61,0.8140000000000001
81,174,0.61,0.8100000000000002
82,173,0.61,0.8100000000000002
83,172,0.6020000000000001,0.8100000000000002
84,171,0.6,0.8100000000000002
85,170,0.6,0.8100000000000002
86,169,0.59,0.806
87,168,0.59,0.8
88,167,0.59,0.8
89,166,0.584,0.788
90,165,0.58,0.788
91,164,0.58,0.786
92,163,0.57,0.788
93,162,0.57,0.784
94,161,0.56,0.788
95,160,0.56,0.786
96,159,0.56,0.788
97,158,0.554,0.7860000000000001
98,157,0.55,0.788
99,156,0.55,0.7860000000000001
100,155,0.54,0.788
101,154,0.54,0.788
102,153,0.54,0.7860000000000001
103,152,0.532,0.788
104,151,0.53,0.788
105,150,0.53,0.7860000000000001
106,149,0.52,0.788
107,148,0.52,0.788
108,147,0.5119999999999999,0.788
109,146,0.51,0.788
110,145,0.51,0.786
111,144,0.506,0.79
112,143,0.5,0.7860000000000001
113,142,0.5,0.7860000000000001
